Child No.0, CPU Time:63, IO Time:6 
Child No.1, CPU Time:77, IO Time:5 
Child No.2, CPU Time:73, IO Time:5 
Child No.3, CPU Time:66, IO Time:2 
Child No.4, CPU Time:69, IO Time:1 
Child No.5, CPU Time:62, IO Time:7 
Child No.6, CPU Time:70, IO Time:9 
Child No.7, CPU Time:63, IO Time:6 
Child No.8, CPU Time:60, IO Time:6 
Child No.9, CPU Time:72, IO Time:6 
Time: 162, Child No.1 gets CPU time, Remaining:43, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 163, Child No.2 gets CPU time, Remaining:39, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 164, Child No.3 gets CPU time, Remaining:32, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 165, Child No.4 gets CPU time, Remaining:35, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 166, Child No.5 gets CPU time, Remaining:28, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 167, Child No.6 gets CPU time, Remaining:36, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 168, Child No.7 gets CPU time, Remaining:29, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 169, Child No.8 gets CPU time, Remaining:26, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 170, Child No.9 gets CPU time, Remaining:38, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 171, Child No.0 gets CPU time, Remaining:27, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 172, Child No.1 gets CPU time, Remaining:41, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 173, Child No.2 gets CPU time, Remaining:37, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 174, Child No.3 gets CPU time, Remaining:30, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 175, Child No.4 gets CPU time, Remaining:33, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 176, Child No.5 gets CPU time, Remaining:26, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 177, Child No.6 gets CPU time, Remaining:34, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 178, Child No.7 gets CPU time, Remaining:27, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 179, Child No.8 gets CPU time, Remaining:24, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 180, Child No.9 gets CPU time, Remaining:36, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 181, Child No.0 gets CPU time, Remaining:25, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 182, Child No.1 gets CPU time, Remaining:39, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 183, Child No.2 gets CPU time, Remaining:35, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 184, Child No.3 gets CPU time, Remaining:28, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 185, Child No.4 gets CPU time, Remaining:31, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 186, Child No.5 gets CPU time, Remaining:24, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 187, Child No.6 gets CPU time, Remaining:32, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 188, Child No.7 gets CPU time, Remaining:25, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 189, Child No.8 gets CPU time, Remaining:22, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 190, Child No.9 gets CPU time, Remaining:34, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 191, Child No.0 gets CPU time, Remaining:23, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 192, Child No.1 gets CPU time, Remaining:37, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
